stock_id,stock_name,year,type
3147,大綜,2020,normal
3149,正達,2020,normal
3152,璟德,2020,normal
3162,精確,2020,normal
3163,波若威,2020,normal
3164,景岳,2020,normal
3167,大量,2020,normal
3169,亞信,2020,normal
3171,新洲,2020,normal
3176,基亞,2020,normal
3178,公準,2020,normal
3188,鑫龍騰,2020,normal
3189,景碩,2020,normal
3191,和進,2020,normal
3202,樺晟,2020,normal
3205,佰研,2020,normal
3206,志豐,2020,normal
3207,耀勝,2020,normal
3209,全科,2020,normal
3211,順達,2020,normal
3213,茂訊,2020,normal
3217,優群,2020,normal
3218,大學光,2020,normal
3219,倚強科,2020,normal
3221,台嘉碩,2020,normal
3224,三顧,2020,normal
3226,至寶電,2020,normal
3227,原相,2020,normal
3228,金麗科,2020,normal
3229,晟鈦,2020,normal
3230,錦明,2020,normal
3231,緯創,2020,normal
3232,昱捷,2020,normal
3234,光環,2020,normal
3236,千如,2020,normal
3252,海灣,2020,normal
3257,虹冠電,2020,normal
3259,鑫創,2020,normal
3260,威剛,2020,normal
3264,欣銓,2020,normal
3265,台星科,2020,normal
3266,昇陽,2020,normal
3268,海德威,2020,normal
3272,東碩,2020,normal
3276,宇環,2020,normal
3284,太普高,2020,normal
3285,微端,2020,normal
3287,廣寰科,2020,normal
3288,點晶,2020,normal
3289,宜特,2020,normal
3290,東浦,2020,normal
3293,鈊象,2020,normal
3294,英濟,2020,normal
3296,勝德,2020,normal
3297,杭特,2020,normal
3303,岱稜,2020,normal
3305,昇貿,2020,normal
3306,鼎天,2020,normal
3308,聯德,2020,normal
3310,佳穎,2020,normal
3311,閎暉,2020,normal
3312,弘憶股,2020,normal
3313,斐成,2020,normal
3317,尼克森,2020,normal
3321,同泰,2020,normal
3322,建舜電,2020,normal
3323,加百裕,2020,normal
3324,雙鴻,2020,normal
3325,旭品,2020,normal
3332,幸康,2020,normal
3338,泰碩,2020,normal
3339,泰谷,2020,normal
3346,麗清,2020,normal
3354,律勝,2020,normal
3356,奇偶,2020,normal
3357,臺慶科,2020,normal
3360,尚立,2020,normal
3362,先進光,2020,normal
3363,上詮,2020,normal
3372,典範,2020,normal
3373,熱映,2020,normal
3374,精材,2020,normal
3376,新日興,2020,normal
3379,彬台,2020,normal
3380,明泰,2020,normal
3383,新世紀,2020,normal
3388,崇越電,2020,normal
3390,旭軟,2020,normal
3402,漢科,2020,normal
3406,玉晶光,2020,normal
3413,京鼎,2020,normal
3416,融程電,2020,normal
3419,譁裕,2020,normal
3426,台興,2020,normal
3432,台端,2020,normal
3434,哲固,2020,normal
3437,榮創,2020,normal
3438,類比科,2020,normal
3441,聯一光,2020,normal
3443,創意,2020,normal
3444,利機,2020,normal
3450,聯鈞,2020,normal
3454,晶睿,2020,normal
3455,由田,2020,normal
3465,進泰電子,2020,normal
